select,attr_name,description
1,dksat,NWM parameter | saturated hydraulic conductivity
1,psisat,NWM parameter | saturated capillary head
1,smcmax,NWM parameter | saturated soil moisture content
1,smcwlt,NWM parameter | wilting point soil moisture content
1,bexp,NWM parameter | beta exponent on Clapp-Hornberger (1978) soil water relations
1,cwpvt,NWM parameter | Canopy wind parameter for canopy wind profile formulation
1,mfsno,NWM parameter | Melt factor for snow depletion curve
1,mp,NWM parameter | Slope of Ball-Berry conductance relationship
1,refkdt,NWM parameter | Soil infiltration parameter
1,slope_1km,NWM parameter | Coeffecient controlling the drainage out of the soil bottom (0=no-flow)
1,vcmx25,NWM parameter | Maximum carboxylation at 25 degC
1,Zmax,NWM parameter | maximum storage in the conceptual reservoir
1,Expon,NWM parameter | exponent for nonlinear ground water reservoir (1.0 for linear reservoir)
1,centroid_x,centroid_x of catchment
1,centroid_y,centroid_y of catchment
0,impervious,percentage of impervious area
1,elevation,mean elevation catchment
1,slope,mean slope of catchment
1,aspect,mean aspect of catchment
0,ISLTYP,dominant soil type
0,IVGTYP,dominant vegetation class
